"PAYMENT_DAY","APPLICATION_SUBMISSION_TYPE","SEX","MARITAL_STATUS","QUANT_DEPENDANTS","STATE_OF_BIRTH","NATIONALITY","RESIDENTIAL_STATE","FLAG_RESIDENCIAL_PHONE","RESIDENCE_TYPE","MONTHS_IN_RESIDENCE","FLAG_EMAIL","PERSONAL_MONTHLY_INCOME","OTHER_INCOMES","FLAG_VISA","FLAG_MASTERCARD","QUANT_SPECIAL_BANKING_ACCOUNTS","QUANT_CARS","COMPANY","PROFESSIONAL_STATE","FLAG_PROFESSIONAL_PHONE","PROFESSION_CODE","OCCUPATION_TYPE","MATE_PROFESSION_CODE","EDUCATION_LEVEL2","PRODUCT","AGE","BAD","CREDIT_AMNT"
"X3","X0","f","X2",0,"rj","X2","rj",1,"X3",25,1,457,134,0,0,0,1,1,"rj",1,"X7","X4","X2","X2","X1",32,"GOOD",1000
"X1","web","m","X3",2,"ce","X2","ce",1,"X3",10,1,1992.9,0,0,0,0,0,1,"ce",0,"X20","X4","X1","X1","X1",58,"GOOD",1000
"X4","web","m","X2",3,"pa","X2","ap",1,"X4",1,1,600,0,0,0,0,0,0,"missing",0,"X1","X6","X1","X1","X1",31,"GOOD",1000
"X1","web","m","X3",1,"rs","X2","ms",1,"X3",2,1,2233.54,0,0,0,0,0,1,"ms",1,"X18","X4","X1","X1","X1",40,"GOOD",1000
"X3","web","m","X2",3,"ce","X2","ce",1,"X3",9.72714882201501,1,612,0,1,0,0,0,0,"missing",0,"X1","X3","X1","X1","X1",69,"GOOD",1000
"X1","web","m","X3",2,"pb","X2","df",1,"X7",4,1,966.3,0,1,0,0,0,1,"missing",1,"X20","X7","X1","X1","X1",39,"GOOD",1000
"X2","web","f","X2",0,"ce","X2","ce",1,"X3",9.72714882201501,1,748,0,0,0,0,0,0,"missing",0,"X1","X6","X1","X1","X1",42,"GOOD",1000
"X3","X0","f","X6",0,"pb","X2","pb",1,"X3",3,0,865,0,0,0,1,1,1,"pb",1,"X20","X7","X2","X2","X1",47,"GOOD",1000
"X3","web","f","X3",0,"ce","X2","ce",1,"X3",1,1,350,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X2",42,"GOOD",1000
"X6","X0","f","X3",1,"sp","X2","sp",1,"X3",2,1,350,0,0,0,1,1,0,"missing",0,"X2","X2","X2","X2","X2",30,"GOOD",1000
"X3","X0","f","X2",0,"ma","X2","ma",1,"X3",5,1,350,0,0,0,1,1,0,"missing",0,"X20","X7","X2","X2","X1",26,"BAD",1000
"X2","web","f","X2",0,"sp","X2","sp",1,"X3",3,1,1500,0,0,0,0,0,0,"missing",1,"X1","X1","X1","X1","X1",32,"GOOD",1000
"X4","X0","m","X3",0,"missing","X1","ce",1,"X4",0,1,350,0,0,0,1,1,1,"ce",1,"X5","X4","X5","X2","X1",58,"GOOD",1000
"X3","web","m","X3",0,"ma","X2","ce",1,"X3",10,1,278,0,0,0,0,0,0,"missing",0,"X13","X3","X1","X1","X1",60,"GOOD",1000
"X6","X0","f","X2",1,"ba","X2","sp",1,"X3",2,1,387,0,0,0,1,1,1,"sp",1,"X20","X4","X2","X2","X1",45,"BAD",1000
"X4","web","f","X4",1,"ba","X2","ba",0,"X3",1,1,246.98,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",48,"GOOD",1000
"X3","X0","m","X8",1,"rs","X2","rs",1,"X3",3,0,1262,0,0,1,0,1,0,"missing",0,"X20","X3","X2","X2","X1",56,"GOOD",1000
"X2","web","f","X3",0,"ce","X2","ce",1,"X3",14,1,1100,0,1,0,0,0,1,"missing",0,"X13","X6","X1","X1","X1",49,"BAD",1000
"X2","web","f","X5",1,"pa","X2","pa",0,"X3",16,1,360,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",71,"GOOD",1000
"X5","web","m","X3",0,"rn","X2","rn",1,"X3",8,1,400,0,0,0,0,0,1,"missing",0,"X1","X1","X1","X1","X1",38,"GOOD",1000
"X4","X0","m","X6",0,"go","X2","go",1,"X3",9.72714882201501,1,350,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X3",69,"GOOD",1000
"X3","web","m","X3",1,"rn","X2","rn",1,"X3",7,1,261,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",60,"GOOD",1000
"X3","web","m","X3",0,"rn","X2","rn",1,"X3",10,1,830,0,0,0,0,0,1,"missing",0,"X1","X1","X1","X1","X1",36,"BAD",1000
"X3","X0","f","X3",0,"rj","X2","sp",1,"X3",5,1,628,0,0,0,1,1,0,"missing",0,"X2","X2","X2","X2","X1",41,"GOOD",1000
"X4","web","f","X3",0,"mg","X2","mg",1,"X3",9.72714882201501,1,380,0,0,0,0,0,1,"missing",0,"X20","X6","X1","X1","X3",45,"BAD",1000
"X3","X0","f","X5",1,"ac","X2","pr",1,"X3",1,1,1101,0,0,0,0,0,1,"missing",0,"X5","X3","X5","X1","X1",53,"GOOD",1000
"X3","X0","f","X5",0,"pe","X2","pe",1,"X3",10,1,2141,0,0,0,1,1,0,"missing",0,"X20","X3","X2","X2","X1",79,"GOOD",1000
"X2","web","m","X2",0,"mg","X2","mg",0,"X3",20,1,542,0,0,0,0,0,1,"mg",1,"X20","X4","X1","X1","X2",31,"GOOD",1000
"X3","web","m","X2",0,"mt","X2","mt",1,"X3",1,1,700,0,0,0,0,0,1,"missing",0,"X20","X4","X1","X1","X1",22,"GOOD",1000
"X6","carga","f","X2",0,"ba","X2","ba",1,"X3",1,1,591,0,0,0,0,0,0,"missing",0,"X5","X7","X5","X1","X1",37,"GOOD",1000
"X4","X0","f","X2",1,"ba","X2","ba",1,"X3",25,0,3000,0,1,0,1,1,0,"missing",0,"X20","X6","X2","X2","X3",55,"GOOD",1000
"X4","web","m","X3",1,"rn","X2","rn",1,"X3",5,1,550,0,0,0,0,0,0,"missing",0,"X13","X1","X1","X1","X1",25,"GOOD",1000
"X4","carga","f","X2",1,"pa","X2","pa",1,"X3",1,1,450,0,0,0,0,0,0,"missing",0,"X20","X4","X5","X1","X1",38,"GOOD",1000
"X5","X0","m","X3",2,"al","X2","al",1,"X3",9,1,608,0,0,1,1,0,1,"al",1,"X20","X7","X1","X1","X1",37,"BAD",1000
"X2","web","f","X2",0,"ap","X2","ap",1,"X3",6,1,1458,0,0,0,0,0,1,"missing",0,"X20","X4","X1","X1","X1",28,"GOOD",1000
"X3","web","f","X2",0,"ba","X2","mt",1,"X3",15,1,351,0,0,0,0,0,0,"missing",0,"X20","X6","X1","X1","X1",67,"GOOD",1000
"X3","web","m","X3",0,"mg","X2","es",1,"X3",0,1,880,0,0,0,0,0,1,"es",0,"X20","X4","X19","X6","X1",21,"GOOD",1000
"X3","web","m","X2",0,"ce","X2","ce",1,"X3",10,1,441,0,0,0,0,0,0,"missing",0,"X6","X4","X1","X1","X1",30,"GOOD",1000
"X4","web","m","X3",0,"rs","X2","rs",1,"X3",8,1,536,0,0,0,0,0,1,"rs",1,"X20","X4","X1","X1","X1",50,"BAD",1000
"X5","web","m","X7",0,"pa","X2","pa",1,"X3",3,1,500,0,0,0,0,0,0,"missing",0,"X20","X6","X1","X1","X1",21,"GOOD",1000
"X2","X0","m","X3",0,"rs","X2","rs",0,"X3",4,0,1319,0,0,0,1,1,0,"missing",0,"X5","X3","X2","X2","X1",61,"GOOD",1000
"X3","web","m","X3",0,"ce","X2","ce",1,"X3",5,1,637.56,0,0,0,0,0,0,"missing",0,"X20","X4","X1","X1","X1",51,"GOOD",1000
"X4","web","m","X7",3,"sp","X2","sp",1,"X4",3,1,900,0,0,0,0,0,0,"missing",0,"X13","X6","X1","X1","X2",36,"GOOD",1000
"X4","web","f","X3",2,"go","X2","go",1,"X3",17,1,399,0,0,0,0,0,1,"go",1,"X20","X4","X1","X1","X1",50,"GOOD",1000
"X4","web","f","X3",1,"pb","X2","pb",1,"X3",3,1,455,0,0,0,0,0,0,"missing",0,"X13","X6","X1","X1","X1",25,"GOOD",1000
"X6","X0","f","X2",0,"pe","X2","pe",0,"X3",5,0,422,0,0,0,1,1,0,"missing",0,"X2","X3","X2","X2","X1",84,"BAD",1000
"X3","X0","f","X3",1,"ba","X2","ba",1,"X3",30,0,1377,611,0,0,0,1,1,"ba",0,"X20","X4","X2","X2","X3",55,"GOOD",1000
"X3","web","f","X3",1,"ba","X2","go",0,"X3",9.72714882201501,1,379,0,0,0,0,0,1,"go",0,"X20","X4","X1","X1","X1",42,"GOOD",1000
"X6","web","f","X3",4,"to","X2","go",1,"X3",1,1,900,0,0,0,0,0,0,"missing",0,"X20","X6","X1","X5","X1",49,"GOOD",1000
"X3","web","m","X3",1,"sc","X2","sc",1,"X3",5,1,1500,0,0,0,0,0,0,"missing",0,"X18","X4","X1","X1","X1",43,"GOOD",1000
"X5","web","f","X2",0,"pe","X2","pe",1,"X3",12,1,300,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",25,"BAD",1000
"X3","web","f","X2",0,"sp","X2","sp",1,"X3",1,1,625,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X1",44,"GOOD",1000
"X3","web","f","X2",0,"ba","X2","ba",1,"X3",30,1,1374,0,0,0,0,0,1,"ba",0,"X17","X7","X1","X1","X1",57,"GOOD",1000
"X4","web","f","X8",1,"rs","X2","rs",1,"X3",3,1,334,0,0,1,0,0,1,"rs",1,"X20","X4","X1","X1","X1",38,"GOOD",1000
"X5","web","f","X2",0,"rn","X2","rn",1,"X3",4,1,1400,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X3",33,"GOOD",1000
"X4","web","f","X5",0,"al","X2","al",1,"X4",9.72714882201501,1,275.08,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",69,"GOOD",1000
"X2","web","f","X5",1,"mg","X2","pr",1,"X3",5,1,2204,1450,0,0,0,0,0,"missing",1,"X1","X1","X1","X1","X1",48,"GOOD",1000
"X6","web","m","X7",0,"ba","X2","sp",1,"X3",10,1,600,0,0,0,0,0,0,"missing",0,"X20","X4","X1","X1","X2",34,"GOOD",1000
"X3","X0","m","X2",2,"rs","X2","rs",1,"X3",11,0,350,0,0,0,1,1,0,"missing",0,"X20","X3","X2","X2","X1",36,"BAD",1000
"X3","X0","f","X2",1,"ba","X2","ba",1,"X3",14,1,440,0,1,1,0,0,1,"ba",1,"X20","X4","X1","X1","X1",49,"GOOD",1000
"X3","web","f","X2",0,"sp","X2","sp",1,"X3",16,1,600,0,0,0,0,0,0,"missing",0,"X1","X6","X1","X1","X1",55,"GOOD",1000
"X3","X0","m","X2",0,"pr","X2","sp",1,"X3",0,1,490,0,0,0,1,1,0,"missing",0,"X20","X4","X2","X2","X2",20,"GOOD",1000
"X4","X0","f","X3",0,"ms","X2","sp",1,"X1",9.72714882201501,1,209,0,0,0,0,0,0,"sp",0,"X1","X1","X1","X4","X1",37,"GOOD",1000
"X3","X0","f","X3",0,"ac","X2","pa",1,"X4",9.72714882201501,1,246,0,0,0,1,0,0,"missing",0,"X1","X1","X1","X1","X1",69,"GOOD",1000
"X3","web","f","X2",0,"pa","X2","ap",1,"X3",20,1,380,0,0,0,0,0,1,"missing",0,"X1","X4","X1","X1","X1",22,"GOOD",1000
"X3","web","m","X2",1,"sp","X2","sp",1,"X4",7,1,455,0,0,0,0,0,1,"sp",1,"X20","X4","X1","X1","X1",20,"BAD",1000
"X3","web","m","X3",2,"sc","X2","sc",1,"X3",37,1,2500,0,0,0,1,1,0,"missing",0,"X13","X6","X10","X5","X1",38,"GOOD",1000
"X3","web","f","X4",0,"pr","X2","pr",1,"X3",3,1,350,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X1",20,"BAD",1000
"X3","web","m","X5",0,"pr","X2","pr",1,"X3",10,1,935,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",57,"GOOD",1000
"X2","X0","m","X3",0,"pa","X2","pa",1,"X4",9.72714882201501,1,1847,0,0,0,0,0,0,"missing",0,"X5","X7","X5","X1","X1",71,"GOOD",1000
"X6","X0","f","X3",0,"sp","X2","sp",1,"X3",1,1,1030,0,0,0,1,1,0,"missing",0,"X10","X7","X19","X4","X2",38,"GOOD",1000
"X6","web","f","X3",0,"pr","X2","sp",1,"X3",22,1,200,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X1",63,"GOOD",1000
"X3","X0","m","X3",0,"sc","X2","pr",0,"X4",2,1,454,0,0,0,1,1,1,"pr",0,"X20","X7","X2","X2","X1",62,"GOOD",1000
"X3","web","f","X3",0,"ce","X2","ce",1,"X3",9.72714882201501,1,351,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",63,"GOOD",1000
"X6","carga","f","X2",0,"pa","X2","pa",0,"X3",1,1,394,0,0,0,0,0,1,"pa",0,"X20","X4","X5","X1","X1",25,"GOOD",1000
"X3","web","f","X2",0,"rs","X2","rs",1,"X3",10,1,800,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",24,"GOOD",1000
"X1","web","f","X3",0,"sp","X2","sp",1,"X3",10,1,764,0,0,0,0,0,0,"missing",0,"X1","X4","X19","X5","X1",40,"GOOD",1000
"X4","X0","m","X3",2,"sc","X2","sc",1,"X3",33,0,671,0,0,0,1,1,0,"missing",0,"X20","X6","X19","X6","X1",32,"GOOD",1000
"X3","X0","m","X7",2,"mt","X2","mt",1,"X3",6,1,554,0,0,0,0,0,1,"mt",1,"X6","X4","X1","X1","X1",54,"GOOD",1000
"X2","X0","f","X2",0,"pa","X2","ap",1,"X3",10,0,200,0,0,0,1,1,0,"missing",0,"X20","X7","X2","X2","X1",21,"BAD",1000
"X4","web","f","X3",1,"rs","X2","sc",0,"X3",10,1,500,0,0,0,0,0,1,"missing",0,"X20","X6","X19","X1","X1",45,"GOOD",1000
"X3","web","f","X3",0,"ce","X2","ce",1,"X4",3,1,350,0,0,0,0,0,0,"missing",0,"X20","X3","X1","X1","X2",64,"GOOD",1000
"X2","web","f","X2",0,"al","X2","al",1,"X3",20,1,350,0,1,0,0,0,1,"al",1,"X20","X4","X1","X1","X1",21,"GOOD",1000
"X4","web","f","X3",0,"rj","X2","rj",1,"X3",1,1,350,0,0,0,0,0,0,"missing",0,"X20","X6","X1","X1","X1",69,"GOOD",1000
"X5","web","f","X3",2,"df","X2","go",1,"X3",5,1,390,0,0,0,0,0,0,"missing",1,"X1","X1","X1","X1","X1",28,"GOOD",1000
"X4","X0","m","X3",1,"rs","X2","rs",1,"X3",26,0,500,0,0,0,1,1,1,"rs",1,"X20","X7","X2","X2","X1",26,"GOOD",1000
"X3","X0","f","X2",1,"ba","X2","ba",1,"X3",10,0,466,0,0,0,1,1,1,"ba",0,"X20","X4","X2","X2","X2",29,"BAD",1000
"X2","web","m","X3",0,"pe","X2","ba",0,"X3",10,1,1530.79,0,1,0,1,0,0,"missing",0,"X20","X3","X12","X1","X1",92,"BAD",1000
"X3","web","m","X3",0,"rs","X2","rs",1,"X3",6,1,440,0,0,0,0,0,1,"missing",0,"X20","X3","X1","X1","X1",56,"GOOD",1000
"X6","web","f","X3",0,"ba","X2","sp",1,"X3",8,1,500,0,0,0,0,0,0,"missing",0,"X1","X4","X1","X1","X1",55,"BAD",1000
"X3","web","f","X7",0,"sp","X2","sp",1,"X3",9.72714882201501,1,331.76,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",19,"GOOD",1000
"X4","web","m","X2",0,"sp","X2","sp",1,"X3",9.72714882201501,1,1300,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",27,"GOOD",1000
"X2","X0","f","X3",3,"sc","X2","sc",1,"X3",2,1,395,320,0,0,1,1,1,"sc",0,"X20","X4","X2","X2","X2",26,"GOOD",1000
"X2","X0","f","X3",0,"rj","X2","rj",1,"X3",16,1,500,0,1,0,1,1,0,"missing",0,"X2","X2","X2","X2","X1",56,"BAD",1000
"X4","web","f","X3",1,"al","X2","al",1,"X3",4,1,475,0,1,0,0,0,1,"missing",0,"X20","X4","X1","X1","X1",28,"GOOD",1000
"X3","X0","m","X3",0,"rs","X2","rs",0,"X3",15,1,636,0,0,0,1,1,1,"rs",1,"X7","X7","X2","X2","X1",60,"GOOD",1000
"X4","X0","f","X2",0,"pr","X2","pa",1,"X3",0,0,603,0,0,0,1,1,0,"missing",0,"X20","X4","X2","X2","X3",29,"GOOD",1000
"X6","X0","f","X2",1,"sp","X2","sp",1,"X3",1,1,800,0,0,0,1,0,0,"missing",0,"X20","X1","X1","X1","X1",25,"GOOD",1000
"X3","web","m","X3",0,"pe","X2","pe",1,"X3",25,1,350,0,0,0,0,0,1,"pe",1,"X20","X7","X1","X1","X1",25,"GOOD",1000
"X3","X0","f","X3",0,"pe","X2","pe",1,"X2",3,0,551,0,0,0,1,1,0,"missing",0,"X10","X3","X2","X2","X1",48,"GOOD",1000
"X2","X0","f","X5",2,"missing","X1","am",1,"X3",0,1,662,0,0,0,1,1,0,"missing",0,"X20","X3","X5","X2","X1",51,"GOOD",1000
"X3","web","m","X2",0,"mg","X2","mg",1,"X3",10,1,584,0,0,0,0,0,0,"missing",0,"X20","X4","X1","X1","X2",29,"GOOD",1000
"X6","web","f","X3",0,"pe","X2","pe",1,"X3",10,1,2400,0,0,0,0,0,0,"missing",0,"X20","X6","X1","X1","X1",45,"BAD",1000
"X5","web","f","X2",0,"ce","X2","ce",1,"X3",1,1,325,0,0,0,0,0,0,"missing",0,"X1","X6","X1","X1","X1",60,"GOOD",1000
"X3","web","f","X3",5,"pe","X2","sp",1,"X4",8,1,1000,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",61,"BAD",1000
"X3","web","f","X2",0,"ba","X2","ba",1,"X3",2,1,900,0,1,1,0,0,0,"missing",0,"X13","X6","X1","X1","X2",26,"GOOD",1000
"X3","web","f","X3",0,"ba","X2","pe",1,"X1",9.72714882201501,1,1606,0,0,0,0,0,1,"missing",1,"X1","X1","X1","X1","X1",42,"GOOD",1000
"X3","X0","f","X3",0,"mt","X2","mt",1,"X3",22,0,604,0,0,0,1,1,1,"mt",1,"X20","X4","X2","X2","X1",22,"GOOD",1000
"X5","carga","m","X3",2,"pe","X2","pe",0,"X3",1,1,200,0,0,0,0,0,0,"missing",0,"X20","X6","X5","X1","X1",39,"BAD",1000
"X2","web","f","X2",1,"mg","X2","ba",1,"X3",5,1,372,0,0,0,0,0,1,"ba",1,"X20","X4","X1","X1","X2",40,"BAD",1000
"X2","X0","m","X2",0,"pe","X2","pb",1,"X3",14,0,350,0,0,0,1,1,1,"pb",0,"X6","X7","X2","X2","X2",50,"BAD",1000
"X4","X0","m","X3",0,"rn","X2","rn",1,"X3",9,1,350,0,0,0,1,1,0,"missing",0,"X20","X3","X2","X2","X1",65,"BAD",1000
"X3","web","m","X3",1,"pr","X2","sp",1,"X3",10,1,400,0,0,0,0,0,0,"missing",0,"X1","X1","X1","X1","X1",37,"GOOD",1000
"X4","web","f","X3",0,"pi","X2","go",0,"X3",5,1,350,0,0,0,0,0,1,"missing",0,"X1","X4","X1","X1","X1",44,"GOOD",1000
"X3","X0","f","X2",1,"missing","X1","ma",1,"X3",0,1,344,0,0,0,1,1,0,"missing",0,"X20","X3","X5","X2","X1",73,"GOOD",1000
"X4","X0","f","X3",3,"sp","X2","sp",1,"X3",2,1,400,0,0,0,1,1,1,"sp",1,"X2","X2","X2","X2","X1",30,"BAD",1000
"X2","web","f","X5",0,"al","X2","al",0,"X3",5,1,1240,0,0,0,0,0,0,"missing",0,"X1","X3","X1","X1","X1",91,"BAD",1000
"X3","X0","f","X3",0,"rs","X2","rs",1,"X3",12,0,394,0,1,1,1,1,1,"rs",1,"X20","X4","X2","X2","X1",27,"GOOD",1000
"X2","X0","m","X3",0,"pe","X2","ba",0,"X3",6,0,1276,0,0,0,1,1,0,"missing",0,"X20","X3","X2","X2","X1",45,"BAD",1000
"X6","X0","f","X7",1,"ba","X2","ba",1,"X3",3,0,350,0,0,0,1,1,0,"missing",0,"X20","X6","X2","X2","X2",20,"GOOD",1000
"X2","web","f","X3",0,"ce","X2","ba",0,"X3",20,1,350,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X1",42,"GOOD",1000
"X3","X0","m","X3",0,"missing","X1","sp",1,"X3",0,1,630,0,0,0,1,1,0,"missing",0,"X5","X7","X5","X2","X2",40,"BAD",1000
"X5","web","f","X3",4,"ba","X2","sp",1,"X4",1,1,660,0,0,0,0,0,1,"sp",1,"X20","X7","X12","X5","X1",35,"GOOD",1000
"X3","web","m","X3",3,"pa","X2","ap",1,"X3",1,1,451,0,0,0,0,0,0,"missing",0,"X5","X4","X1","X1","X1",26,"GOOD",1000
"X3","X0","m","X3",0,"sp","X2","sp",1,"X2",0,1,1715,0,0,0,1,1,0,"missing",0,"X2","X2","X2","X2","X1",26,"GOOD",1000
"X3","carga","f","X2",0,"to","X2","ba",1,"X3",1,1,352,0,0,0,0,0,1,"missing",0,"X5","X3","X5","X1","X1",76,"GOOD",1000
"X3","X0","f","X5",0,"mg","X2","mg",1,"X3",20,1,350,0,0,0,1,1,0,"missing",0,"X2","X3","X2","X2","X1",80,"BAD",1000
"X3","X0","f","X2",6,"ce","X2","ce",1,"X3",5,0,350,0,0,0,1,1,0,"missing",0,"X2","X3","X2","X2","X1",59,"GOOD",1000
"X6","web","f","X3",1,"ce","X2","sp",0,"X3",9.72714882201501,1,599,0,0,1,0,0,1,"sp",1,"X20","X4","X1","X1","X1",31,"GOOD",1000
"X3","web","f","X3",2,"sp","X2","sp",1,"X3",3,1,300,0,0,0,0,0,1,"missing",0,"X1","X1","X1","X1","X1",36,"GOOD",1000
"X5","carga","f","X3",1,"pa","X2","pa",0,"X3",1,1,276.62,0,0,0,0,0,0,"missing",0,"X5","X3","X5","X1","X1",61,"GOOD",1000
"X5","web","m","X3",0,"pe","X2","sp",1,"X3",5,1,1067,0,0,0,0,0,0,"missing",0,"X20","X4","X1","X1","X2",33,"GOOD",1000
"X4","web","f","X3",0,"rj","X2","rj",1,"X3",40,1,382,1000,0,0,0,0,1,"missing",0,"X20","X3","X1","X1","X1",62,"GOOD",1000
"X2","web","f","X2",0,"mt","X2","mt",1,"X3",5,1,1079,0,0,0,0,0,1,"missing",0,"X1","X1","X1","X1","X1",32,"BAD",1000
"X3","X0","f","X3",2,"go","X2","df",1,"X3",10,1,536,706,0,0,1,1,0,"missing",1,"X20","X4","X2","X2","X1",36,"GOOD",1000
"X5","X0","f","X5",0,"rj","X2","rj",1,"X3",1,0,359,0,0,0,1,1,0,"missing",0,"X2","X2","X2","X2","X1",53,"GOOD",1000
"X3","web","f","X3",2,"pe","X2","pe",1,"X3",40,1,800,250,1,0,0,0,1,"pe",1,"X20","X4","X1","X1","X1",44,"GOOD",1000
"X6","web","f","X2",0,"ba","X2","ba",1,"X7",30,1,372,0,0,0,0,0,1,"ba",1,"X20","X4","X1","X1","X2",32,"GOOD",1000
"X5","X0","f","X3",0,"ba","X2","sp",1,"X3",7,0,350,0,0,0,1,1,1,"missing",0,"X13","X6","X2","X2","X1",55,"GOOD",1000
"X2","web","f","X2",0,"ma","X2","pa",1,"X7",6,1,380,0,0,0,0,0,0,"missing",0,"X20","X4","X1","X1","X1",22,"GOOD",1000
"X3","X0","m","X3",0,"pr","X2","pr",1,"X3",10,1,351,350,0,0,1,1,1,"missing",0,"X5","X3","X5","X2","X1",58,"GOOD",1000
"X4","X0","f","X5",0,"ce","X2","ce",0,"X3",32,0,350,0,0,0,1,1,0,"missing",0,"X20","X7","X2","X2","X1",65,"BAD",1000
"X3","X0","f","X3",0,"sp","X2","sp",1,"X2",0,0,350,0,0,0,1,1,0,"missing",0,"X2","X2","X2","X2","X2",56,"GOOD",1000
"X4","X0","f","X3",0,"mt","X2","mt",0,"X4",2,0,642,0,0,0,1,1,1,"mt",1,"X20","X4","X2","X2","X1",45,"GOOD",1000
"X3","X0","m","X4",0,"rs","X2","rs",0,"X3",10,0,350,0,0,0,1,1,0,"missing",0,"X20","X3","X2","X2","X1",58,"GOOD",1000
"X3","web","f","X3",2,"pe","X2","pe",1,"X5",7,1,1200,0,0,1,0,0,0,"missing",0,"X13","X6","X1","X1","X1",37,"GOOD",1000
"X4","web","m","X3",0,"rn","X2","sp",1,"X5",0,1,631,0,0,0,0,0,0,"missing",0,"X20","X7","X1","X1","X1",33,"GOOD",1000
